ncm,regime,percentual_reducao,vigente_de
84798912,ANEXO_IV_60,60,2027-01-01
84798999,ANEXO_IV_60,60,2027-01-01
85171,ANEXO_V_60,60,2027-01-01
85437099,ANEXO_V_60,60,2027-01-01
87082999,ANEXO_V_60,60,2027-01-01
87089910,ANEXO_V_60,60,2027-01-01
87131000,ANEXO_XIII_ZERO,100,2027-01-01
87139000,ANEXO_XIII_ZERO,100,2027-01-01
87142000,ANEXO_XIII_ZERO,100,2027-01-01
90172000,ANEXO_V_60,60,2027-01-01
90181100,ANEXO_XII_ZERO,100,2027-01-01
901812,ANEXO_XII_ZERO,100,2027-01-01
90181300,ANEXO_XII_ZERO,100,2027-01-01
90181980,ANEXO_XII_ZERO,100,2027-01-01
901820,ANEXO_XII_ZERO,100,2027-01-01
90182010,ANEXO_IV_60,60,2027-01-01
901831,ANEXO_IV_60,60,2027-01-01
901832,ANEXO_IV_60,60,2027-01-01
9018392,ANEXO_IV_60,60,2027-01-01
90183929,ANEXO_IV_60,60,2027-01-01
90183930,ANEXO_IV_60,60,2027-01-01
9018399,ANEXO_IV_60,60,2027-01-01
90183991,ANEXO_IV_60,60,2027-01-01
90183999,ANEXO_IV_60,60,2027-01-01
9018491,ANEXO_IV_60,60,2027-01-01
90184920,ANEXO_IV_60,60,2027-01-01
90185090,ANEXO_IV_60,60,2027-01-01
90189021,ANEXO_IV_60,60,2027-01-01
90189040,ANEXO_IV_60,60,2027-01-01
90189095,ANEXO_IV_60,60,2027-01-01
90192040,ANEXO_XII_ZERO,100,2027-01-01
90212900,ANEXO_IV_60,60,2027-01-01
90215000,ANEXO_IV_60,60,2027-01-01
90219011,ANEXO_IV_60,60,2027-01-01
90219012,ANEXO_IV_60,60,2027-01-01
90219080,ANEXO_IV_60,60,2027-01-01
90219089,ANEXO_IV_60,60,2027-01-01
90219091,ANEXO_IV_60,60,2027-01-01
90219092,ANEXO_XIII_ZERO,100,2027-01-01
90219099,ANEXO_IV_60,60,2027-01-01
90221200,ANEXO_XII_ZERO,100,2027-01-01
90222110,ANEXO_XII_ZERO,100,2027-01-01
90222120,ANEXO_XII_ZERO,100,2027-01-01
9025,ANEXO_XII_ZERO,100,2027-01-01
90251990,ANEXO_V_60,60,2027-01-01
90272012,ANEXO_IV_60,60,2027-01-01
90272021,ANEXO_IV_60,60,2027-01-01
90272029,ANEXO_IV_60,60,2027-01-01
902730,ANEXO_IV_60,60,2027-01-01
90275020,ANEXO_IV_60,60,2027-01-01
90275050,ANEXO_IV_60,60,2027-01-01
90275090,ANEXO_IV_60,60,2027-01-01
90278100,ANEXO_IV_60,60,2027-01-01
90278999,ANEXO_IV_60,60,2027-01-01
90279010,ANEXO_IV_60,60,2027-01-01
9027909,ANEXO_IV_60,60,2027-01-01
9090,ANEXO_I_ZERO,100,2027-01-01
940290,ANEXO_IV_60,60,2027-01-01
96032100,ANEXO_VIII_60,60,2027-01-01
96190000,ANEXO_VIII_60,60,2027-01-01
